LocCurrency,PortNumber,AccNumber,LocNumber,GeogName1,AreaName1,Latitude,Longitude,CountryCode,ConstructionCode,OccupancyCode,YearBuilt,YearUpgraded,NumberOfStoreys,NumberOfBuildings,LocPerilsCovered,BuildingTIV
n/a,1,146,10487,Pedro Brand,Santo Domingo,18.56477,-70.03498,DR,5105,1050,1900,1900,1,248,QEQ,8928000
n/a,1,146,10486,Pedro Brand,Santo Domingo,18.56477,-70.03498,DR,5109,1050,1900,1900,3,17,QEQ,4740062.4
n/a,1,146,10485,Pedro Brand,Santo Domingo,18.56477,-70.03498,DR,5109,1050,1900,1900,2,23,QEQ,5743008
n/a,1,146,10484,Pedro Brand,Santo Domingo,18.56477,-70.03498,DR,5109,1050,1900,1900,1,31,QEQ,4300320
n/a,1,146,10483,Pedro Brand,Santo Domingo,18.56477,-70.03498,DR,5109,1050,1900,1900,3,40,QEQ,5280302.16
n/a,1,146,10482,Pedro Brand,Santo Domingo,18.56477,-70.03498,DR,5109,1050,1900,1900,2,122,QEQ,14422317.84
n/a,1,146,10481,Pedro Brand,Santo Domingo,18.56477,-70.03498,DR,5109,1050,1900,1900,1,157,QEQ,10311037.8
n/a,1,146,10480,Pedro Brand,Santo Domingo,18.56477,-70.03498,DR,5150,1050,1900,1900,2,105,QEQ,3265920
n/a,1,146,10479,Pedro Brand,Santo Domingo,18.56477,-70.03498,DR,5150,1050,1900,1900,1,126,QEQ,2177280
n/a,1,146,10478,Pedro Brand,Santo Domingo,18.56477,-70.03498,DR,5150,1050,1900,1900,5,1,QEQ,1734000
n/a,1,146,10477,Pedro Brand,Santo Domingo,18.56477,-70.03498,DR,5150,1050,1900,1900,4,1,QEQ,1387200
n/a,1,146,10476,Pedro Brand,Santo Domingo,18.56477,-70.03498,DR,5150,1050,1900,1900,3,47,QEQ,13104878.4
n/a,1,146,10475,Pedro Brand,Santo Domingo,18.56477,-70.03498,DR,5150,1050,1900,1900,2,102,QEQ,25468992
n/a,1,146,10474,Pedro Brand,Santo Domingo,18.56477,-70.03498,DR,5150,1050,1900,1900,5,1,QEQ,216000
n/a,1,146,10473,Pedro Brand,Santo Domingo,18.56477,-70.03498,DR,5150,1050,1900,1900,4,2,QEQ,345600
n/a,1,146,10472,Pedro Brand,Santo Domingo,18.56477,-70.03498,DR,5150,1050,1900,1900,3,52,QEQ,1806105.6
