type, summary_id,period_no,event_id,mean,standard_deviation,exposure_value,occ_year,occ_month,occ_day
1,1,3437,3159,1.00,0.00,48347220.00,3437,6,29
2,1,3437,3159,1.75,5.55,48347220.00,3437,6,29
1,1,3766,4639,0.98,0.00,43284180.00,3766,9,16
1,1,2069,1164,485.61,0.00,43284180.00,2069,2,22
2,1,2069,1164,1077.17,3130.67,43284180.00,2069,2,22
1,1,3194,1353,1.93,0.00,43284180.00,3194,6,16
2,1,3194,1353,5.51,11.61,43284180.00,3194,6,16
1,1,919,4246,17994.72,0.00,48347220.00,919,7,1
2,1,919,4246,16355.69,20438.10,48347220.00,919,7,1
1,1,288,2311,37869.78,0.00,48347220.00,288,6,10
2,1,288,2311,35072.27,33870.31,48347220.00,288,6,10
1,1,2481,4144,1.01,0.00,43284180.00,2481,3,13
1,1,1637,720,21.27,0.00,48347220.00,1637,3,5
2,1,1637,720,41.86,103.39,48347220.00,1637,3,5
1,1,2456,4266,0.98,0.00,43284180.00,2456,10,30
2,1,2456,4266,2.62,8.28,43284180.00,2456,10,30
1,1,4718,3623,15.25,0.00,43284180.00,4718,11,7
2,1,4718,3623,5.10,10.76,43284180.00,4718,11,7
1,1,718,5216,77718.05,0.00,48347220.00,718,9,6
2,1,718,5216,181840.42,190895.66,48347220.00,718,9,6
1,1,471,2653,1.01,0.00,43284180.00,471,9,27
2,1,471,2653,2.80,8.84,43284180.00,471,9,27
1,1,4124,3625,175595.84,0.00,48347220.00,4124,6,12
2,1,4124,3625,143902.02,106275.83,48347220.00,4124,6,12
1,1,2214,5163,1463.62,0.00,48347220.00,2214,3,3
2,1,2214,5163,2172.26,3326.46,48347220.00,2214,3,3
1,1,762,4179,1.00,0.00,12823488.00,762,3,20
1,1,1420,2741,95.92,0.00,43284180.00,1420,12,19
2,1,1420,2741,72.68,153.23,43284180.00,1420,12,19
1,1,4718,5157,89321.26,0.00,48347220.00,4718,8,27
2,1,4718,5157,73047.23,84911.41,48347220.00,4718,8,27
1,1,3967,2679,2356.82,0.00,48347220.00,3967,1,18
2,1,3967,2679,2239.21,2086.90,48347220.00,3967,1,18
1,1,832,5016,2.88,0.00,43284180.00,832,3,18
1,1,4091,4971,843.87,0.00,48347220.00,4091,12,8
2,1,4091,4971,2006.03,2426.45,48347220.00,4091,12,8
1,1,2438,4773,16.38,0.00,48347220.00,2438,2,1
2,1,2438,4773,41.84,104.24,48347220.00,2438,2,1
1,1,2389,1642,24257.59,0.00,48347220.00,2389,4,8
2,1,2389,1642,21859.04,35314.14,48347220.00,2389,4,8
1,1,2019,3365,2.94,0.00,48347220.00,2019,5,13
2,1,2019,3365,2.67,8.43,48347220.00,2019,5,13
1,1,3,2395,22738.90,0.00,48347220.00,3,10,28
2,1,3,2395,27398.69,27798.42,48347220.00,3,10,28
1,1,2907,4923,3.92,0.00,43284180.00,2907,5,26
2,1,2907,4923,2.63,8.32,43284180.00,2907,5,26
1,1,879,5414,15.27,0.00,48347220.00,879,5,4
2,1,879,5414,1.00,3.18,48347220.00,879,5,4
1,1,2882,4512,0.97,0.00,48347220.00,2882,8,12
1,1,3860,1281,0.98,0.00,43284180.00,3860,4,24
1,1,2682,4772,5.92,0.00,48347220.00,2682,3,16
2,1,2682,4772,8.61,17.03,48347220.00,2682,3,16
1,1,4734,2067,12.84,0.00,43284180.00,4734,9,6
1,1,671,1683,141.74,0.00,48347220.00,671,1,4
2,1,671,1683,12.67,17.01,48347220.00,671,1,4
1,1,356,5080,1.90,0.00,43284180.00,356,12,8
1,1,4803,2713,83.24,0.00,48347220.00,4803,1,28
2,1,4803,2713,205.66,524.62,48347220.00,4803,1,28
1,1,554,2729,2352.21,0.00,48347220.00,554,3,7
2,1,554,2729,5873.20,18364.23,48347220.00,554,3,7
1,1,1414,1681,2.01,0.00,48347220.00,1414,4,1
2,1,1414,1681,3.91,9.08,48347220.00,1414,4,1
1,1,572,4913,19.14,0.00,48347220.00,572,11,8
2,1,572,4913,4.98,9.26,48347220.00,572,11,8
1,1,2642,1947,486.58,0.00,48347220.00,2642,10,27
2,1,2642,1947,60.23,186.93,48347220.00,2642,10,27
1,1,2303,2697,336.48,0.00,48347220.00,2303,3,9
2,1,2303,2697,186.40,532.81,48347220.00,2303,3,9
1,1,1736,5400,26051.07,0.00,48347220.00,1736,1,10
2,1,1736,5400,40940.94,65535.36,48347220.00,1736,1,10
1,1,4037,1946,8042.17,0.00,48347220.00,4037,8,4
2,1,4037,1946,331.59,656.15,48347220.00,4037,8,4
1,1,865,3834,5.08,0.00,48347220.00,865,10,28
2,1,865,3834,6.62,11.45,48347220.00,865,10,28
1,1,1540,1284,1391.15,0.00,48347220.00,1540,6,20
2,1,1540,1284,3925.66,6941.91,48347220.00,1540,6,20
1,1,2966,2367,210.94,0.00,48347220.00,2966,5,20
2,1,2966,2367,49.75,89.14,48347220.00,2966,5,20
1,1,2257,3359,896920.62,0.00,48347220.00,2257,12,31
2,1,2257,3359,1046277.50,2049760.62,48347220.00,2257,12,31
1,1,4220,2726,1.99,0.00,43284180.00,4220,5,8
2,1,4220,2726,2.46,7.79,43284180.00,4220,5,8
1,1,2321,5160,12557.13,0.00,48347220.00,2321,8,26
2,1,2321,5160,21730.64,39836.39,48347220.00,2321,8,26
1,1,886,5376,94786.96,0.00,48347220.00,886,10,17
2,1,886,5376,82274.95,106768.97,48347220.00,886,10,17
1,1,4620,5241,57198.16,0.00,48347220.00,4620,12,5
2,1,4620,5241,79417.67,118794.01,48347220.00,4620,12,5
1,1,4542,5204,3525.26,0.00,48347220.00,4542,1,31
2,1,4542,5204,6706.28,10372.30,48347220.00,4542,1,31
1,1,1524,2392,242.08,0.00,48347220.00,1524,12,2
2,1,1524,2392,132.68,269.70,48347220.00,1524,12,2
1,1,2565,5230,12.84,0.00,43284180.00,2565,6,20
1,1,357,4408,227.22,0.00,48347220.00,357,8,16
2,1,357,4408,212.48,661.42,48347220.00,357,8,16
1,1,3180,2807,1.03,0.00,12823488.00,3180,4,19
2,1,3180,2807,1.12,3.54,12823488.00,3180,4,19
1,1,22,1941,37024.46,0.00,48347220.00,22,4,6
2,1,22,1941,39167.27,78976.59,48347220.00,22,4,6
1,1,992,3109,0.95,0.00,43284180.00,992,9,5
1,1,483,3639,3.06,0.00,43284180.00,483,12,29
2,1,483,3639,2.56,8.08,43284180.00,483,12,29
1,1,1472,4924,0.98,0.00,43284180.00,1472,7,14
1,1,4806,5223,2535832.75,0.00,48347220.00,4806,12,13
2,1,4806,5223,2233625.50,1196542.50,48347220.00,4806,12,13
1,1,1720,2999,56035.12,0.00,48347220.00,1720,3,11
2,1,1720,2999,125580.00,144079.45,48347220.00,1720,3,11
1,1,43,1285,3.00,0.00,48347220.00,43,11,29
2,1,43,1285,1.14,3.62,48347220.00,43,11,29
1,1,497,2691,245527.97,0.00,48347220.00,497,8,3
2,1,497,2691,205185.53,216812.70,48347220.00,497,8,3
1,1,4410,5357,421234.84,0.00,48347220.00,4410,12,25
2,1,4410,5357,561371.25,1052520.88,48347220.00,4410,12,25
1,1,1860,5126,52910.87,0.00,48347220.00,1860,1,15
2,1,1860,5126,63267.07,53101.31,48347220.00,1860,1,15
1,1,2806,5075,120931.62,0.00,48347220.00,2806,10,7
2,1,2806,5075,121461.42,178574.69,48347220.00,2806,10,7
1,1,4317,3381,967.12,0.00,48347220.00,4317,4,5
2,1,4317,3381,175.66,300.49,48347220.00,4317,4,5
1,1,3941,5120,6808.31,0.00,48347220.00,3941,7,16
2,1,3941,5120,1561.31,3283.36,48347220.00,3941,7,16
1,1,1323,4046,3.03,0.00,43284180.00,1323,7,22
1,1,4228,5012,356.82,0.00,48347220.00,4228,10,14
2,1,4228,5012,121.76,162.62,48347220.00,4228,10,14
1,1,2715,2332,84348.87,0.00,48347220.00,2715,3,19
2,1,2715,2332,130300.52,194409.47,48347220.00,2715,3,19
1,1,1199,2333,12302.61,0.00,43284180.00,1199,2,15
2,1,1199,2333,18643.43,28687.11,43284180.00,1199,2,15
1,1,966,4142,10.05,0.00,48347220.00,966,4,23
2,1,966,4142,9.25,12.61,48347220.00,966,4,23
1,1,4270,3645,0.98,0.00,43284180.00,4270,7,29
2,1,4270,3645,5.40,11.39,43284180.00,4270,7,29
1,1,2981,4768,42.83,0.00,48347220.00,2981,5,3
2,1,2981,4768,6.31,10.59,48347220.00,2981,5,3
1,1,5000,2379,555261.94,0.00,48347220.00,5000,8,1
2,1,5000,2379,361561.19,450747.66,48347220.00,5000,8,1
1,1,840,5214,154898.41,0.00,48347220.00,840,8,26
2,1,840,5214,71684.66,118774.69,48347220.00,840,8,26
1,1,364,3853,1.04,0.00,43284180.00,364,10,3
1,1,3539,4940,9084.27,0.00,48347220.00,3539,5,2
2,1,3539,4940,12467.55,31761.68,48347220.00,3539,5,2
1,1,3413,1597,1597.33,0.00,43284180.00,3413,2,4
2,1,3413,1597,208.94,435.11,43284180.00,3413,2,4
1,1,3913,5182,1239.78,0.00,48347220.00,3913,7,22
2,1,3913,5182,726.98,1597.55,48347220.00,3913,7,22
1,1,646,4045,5863.16,0.00,48347220.00,646,4,14
2,1,646,4045,9345.55,14253.58,48347220.00,646,4,14
1,1,2651,5191,12163.29,0.00,43284180.00,2651,5,29
2,1,2651,5191,2941.99,9287.92,43284180.00,2651,5,29
1,1,1930,5118,2972.41,0.00,48347220.00,1930,4,11
2,1,1930,5118,701.19,1115.73,48347220.00,1930,4,11
1,1,2543,4286,4.08,0.00,48347220.00,2543,8,19
2,1,2543,4286,1.04,3.29,48347220.00,2543,8,19
1,1,4231,4270,69.33,0.00,43284180.00,4231,1,8
2,1,4231,4270,38.83,104.63,43284180.00,4231,1,8
1,1,2732,2682,13741.38,0.00,48347220.00,2732,10,26
2,1,2732,2682,25199.18,15001.27,48347220.00,2732,10,26
1,1,3545,5350,66989.73,0.00,48347220.00,3545,6,5
2,1,3545,5350,26025.01,55931.14,48347220.00,3545,6,5
1,1,3303,4143,99.47,0.00,48347220.00,3303,10,28
2,1,3303,4143,179.72,568.32,48347220.00,3303,10,28
1,1,336,1879,0.98,0.00,43284180.00,336,3,2
2,1,336,1879,2.71,8.57,43284180.00,336,3,2
1,1,114,5332,158694.97,0.00,48347220.00,114,3,4
2,1,114,5332,125653.73,344059.88,48347220.00,114,3,4
1,1,2125,5142,98237.33,0.00,48347220.00,2125,10,5
2,1,2125,5142,186945.16,221664.73,48347220.00,2125,10,5
1,1,1688,4935,442.88,0.00,48347220.00,1688,12,19
2,1,1688,4935,548.05,972.89,48347220.00,1688,12,19
1,1,54,3905,12049.75,0.00,48347220.00,54,12,1
2,1,54,3905,7275.60,8629.63,48347220.00,54,12,1
1,1,3920,5147,12814.59,0.00,48347220.00,3920,5,24
2,1,3920,5147,23347.35,22234.89,48347220.00,3920,5,24
1,1,1684,5001,221.61,0.00,48347220.00,1684,4,1
2,1,1684,5001,12.56,12.02,48347220.00,1684,4,1
1,1,1423,2734,23.22,0.00,48347220.00,1423,1,20
2,1,1423,2734,9.28,11.29,48347220.00,1423,1,20
1,1,1747,2330,36273.22,0.00,48347220.00,1747,7,6
2,1,1747,2330,33848.43,66835.01,48347220.00,1747,7,6
1,1,1937,5203,1125.13,0.00,43284180.00,1937,7,17
2,1,1937,5203,2631.83,4907.08,43284180.00,1937,7,17
1,1,3696,5247,24160.17,0.00,48347220.00,3696,11,4
2,1,3696,5247,16009.91,23713.56,48347220.00,3696,11,4
1,1,4553,5219,657357.56,0.00,48347220.00,4553,2,1
2,1,4553,5219,579587.50,791887.06,48347220.00,4553,2,1
1,1,1968,5051,42027.30,0.00,48347220.00,1968,7,13
2,1,1968,5051,43515.31,64061.64,48347220.00,1968,7,13
1,1,2854,2673,162129.88,0.00,48347220.00,2854,2,4
2,1,2854,2673,263997.66,283977.53,48347220.00,2854,2,4
1,1,1415,4521,1.98,0.00,48347220.00,1415,1,6
2,1,1415,4521,2.35,4.96,48347220.00,1415,1,6
1,1,4909,4062,15.24,0.00,48347220.00,4909,6,15
2,1,4909,4062,7.25,7.86,48347220.00,4909,6,15
1,1,1534,5324,123464.41,0.00,48347220.00,1534,1,20
2,1,1534,5324,56553.52,73983.32,48347220.00,1534,1,20
1,1,3627,3972,13.23,0.00,43284180.00,3627,9,1
1,1,2300,5337,265505.91,0.00,48347220.00,2300,8,20
2,1,2300,5337,244831.03,748184.12,48347220.00,2300,8,20
1,1,2073,5322,243964.98,0.00,48347220.00,2073,11,7
2,1,2073,5322,258824.00,704084.00,48347220.00,2073,11,7
1,1,2797,4931,238.68,0.00,48347220.00,2797,8,25
2,1,2797,4931,14.56,18.73,48347220.00,2797,8,25
1,1,4502,5377,8301.56,0.00,48347220.00,4502,8,3
2,1,4502,5377,7.29,9.77,48347220.00,4502,8,3
1,1,987,5143,92716.19,0.00,48347220.00,987,4,4
2,1,987,5143,46731.53,46648.96,48347220.00,987,4,4
1,1,2837,5362,41618.66,0.00,48347220.00,2837,5,29
2,1,2837,5362,52331.83,99056.88,48347220.00,2837,5,29
1,1,2282,2441,0.98,0.00,43284180.00,2282,2,5
1,1,3918,5374,2.08,0.00,48347220.00,3918,12,10
2,1,3918,5374,3.54,8.20,48347220.00,3918,12,10
1,1,625,4765,12.84,0.00,43284180.00,625,7,12
1,1,2716,2363,2.01,0.00,48347220.00,2716,4,7
2,1,2716,2363,4.36,9.47,48347220.00,2716,4,7
1,1,1107,2895,16.23,0.00,43284180.00,1107,5,9
2,1,1107,2895,36.43,115.19,43284180.00,1107,5,9
1,1,1882,3810,830.78,0.00,48347220.00,1882,6,26
2,1,1882,3810,1446.28,1759.33,48347220.00,1882,6,26
1,1,4705,5368,216.10,0.00,48347220.00,4705,2,19
2,1,4705,5368,2029.30,2608.68,48347220.00,4705,2,19
1,1,4804,5186,6827.69,0.00,48347220.00,4804,5,9
2,1,4804,5186,2399.94,5412.75,48347220.00,4804,5,9
1,1,1597,4777,249.79,0.00,48347220.00,1597,1,16
2,1,1597,4777,73.39,147.38,48347220.00,1597,1,16
1,1,2717,4390,12.47,0.00,43284180.00,2717,1,9
1,1,2260,930,1.93,0.00,48347220.00,2260,9,10
1,1,4417,4077,8.90,0.00,48347220.00,4417,8,20
2,1,4417,4077,9.97,7.18,48347220.00,4417,8,20
1,1,1191,2686,4551691.00,0.00,48347220.00,1191,7,19
2,1,1191,2686,2476236.75,2604002.25,48347220.00,1191,7,19
1,1,4097,4932,25523.72,0.00,48347220.00,4097,5,27
2,1,4097,4932,8322.05,11479.11,48347220.00,4097,5,27
1,1,3020,2681,31083.82,0.00,48347220.00,3020,7,18
2,1,3020,2681,31617.61,22311.74,48347220.00,3020,7,18
1,1,4754,1283,0.98,0.00,43284180.00,4754,11,23
2,1,4754,1283,2.54,8.04,43284180.00,4754,11,23
1,1,1196,3969,2.96,0.00,48347220.00,1196,9,3
2,1,1196,3969,3.92,6.43,48347220.00,1196,9,3
1,1,3102,5417,1413.72,0.00,48347220.00,3102,6,5
2,1,3102,5417,2936.89,5707.06,48347220.00,3102,6,5
1,1,2272,1356,202.81,0.00,48347220.00,2272,5,17
2,1,2272,1356,971.68,2028.97,48347220.00,2272,5,17
1,1,474,5385,2467.69,0.00,48347220.00,474,1,9
2,1,474,5385,1494.46,3354.03,48347220.00,474,1,9
1,1,2728,2647,5419079.00,0.00,48347220.00,2728,6,22
2,1,2728,2647,4944198.50,3678874.50,48347220.00,2728,6,22
1,1,249,2460,32.15,0.00,48347220.00,249,6,23
2,1,249,2460,43.25,115.80,48347220.00,249,6,23
1,1,3314,1644,13294.87,0.00,48347220.00,3314,3,27
2,1,3314,1644,4628.89,6969.79,48347220.00,3314,3,27
1,1,4447,5326,2726.63,0.00,48347220.00,4447,7,25
2,1,4447,5326,1346.35,3074.21,48347220.00,4447,7,25
1,1,2077,2699,502191.50,0.00,48347220.00,2077,6,13
2,1,2077,2699,647543.94,1128763.00,48347220.00,2077,6,13
1,1,2361,3358,4735.25,0.00,48347220.00,2361,1,27
2,1,2361,3358,6793.54,9666.56,48347220.00,2361,1,27
1,1,3879,5031,1334.94,0.00,43284180.00,3879,10,30
2,1,3879,5031,1319.04,1920.30,43284180.00,3879,10,30
1,1,1569,5346,621.95,0.00,48347220.00,1569,1,20
2,1,1569,5346,382.68,1032.37,48347220.00,1569,1,20
1,1,2779,1655,42501.32,0.00,48347220.00,2779,10,4
2,1,2779,1655,29837.85,41359.68,48347220.00,2779,10,4
1,1,4193,3817,1092.18,0.00,48347220.00,4193,10,7
2,1,4193,3817,1055.53,1804.46,48347220.00,4193,10,7
1,1,4651,3681,0.98,0.00,43284180.00,4651,9,4
1,1,4684,5154,53094.96,0.00,48347220.00,4684,9,14
2,1,4684,5154,15630.76,20966.22,48347220.00,4684,9,14
1,1,1841,1835,13825.51,0.00,48347220.00,1841,5,24
2,1,1841,1835,5223.66,12195.25,48347220.00,1841,5,24
1,1,3506,2450,2252180.50,0.00,48347220.00,3506,12,9
2,1,3506,2450,1634424.62,3742347.00,48347220.00,3506,12,9
1,1,397,5292,0.98,0.00,43284180.00,397,4,27
1,1,2412,2402,3802294.50,0.00,48347220.00,2412,7,3
2,1,2412,2402,2475888.00,1823323.12,48347220.00,2412,7,3
1,1,2161,1787,27105.00,0.00,48347220.00,2161,4,7
2,1,2161,1787,28758.97,69012.27,48347220.00,2161,4,7
1,1,2308,2128,216.66,0.00,48347220.00,2308,12,5
2,1,2308,2128,770.27,1803.24,48347220.00,2308,12,5
1,1,1003,4430,9.94,0.00,48347220.00,1003,8,4
2,1,1003,4430,8.75,8.82,48347220.00,1003,8,4
1,1,2536,4316,4.05,0.00,48347220.00,2536,5,13
2,1,2536,4316,6.87,13.08,48347220.00,2536,5,13
1,1,4546,2768,2433.11,0.00,48347220.00,4546,6,24
2,1,4546,2768,3178.49,7017.90,48347220.00,4546,6,24
1,1,557,4075,2188.14,0.00,48347220.00,557,4,29
2,1,557,4075,2.20,4.66,48347220.00,557,4,29
1,1,519,4153,0.98,0.00,43284180.00,519,11,21
1,1,834,4941,53157.38,0.00,48347220.00,834,10,28
2,1,834,4941,43006.97,79648.75,48347220.00,834,10,28
1,1,2211,5319,9184.20,0.00,48347220.00,2211,4,26
2,1,2211,5319,13916.63,28898.70,48347220.00,2211,4,26
1,1,4949,3402,206870.94,0.00,48347220.00,4949,8,28
2,1,4949,3402,237466.67,200444.66,48347220.00,4949,8,28
1,1,1790,2366,1.03,0.00,48347220.00,1790,12,26
1,1,1391,2715,1.00,0.00,48347220.00,1391,7,15
2,1,1391,2715,2.76,8.72,48347220.00,1391,7,15
1,1,329,1861,490.64,0.00,48347220.00,329,6,22
2,1,329,1861,1206.43,3551.18,48347220.00,329,6,22
1,1,2044,5209,11596.96,0.00,48347220.00,2044,11,11
2,1,2044,5209,4887.50,5931.76,48347220.00,2044,11,11
1,1,4340,5244,2725.04,0.00,48347220.00,4340,9,30
2,1,4340,5244,2391.02,5971.02,48347220.00,4340,9,30
1,1,3047,5366,1.99,0.00,43284180.00,3047,11,28
1,1,4596,4895,1.90,0.00,43284180.00,4596,11,21
2,1,4596,4895,2.55,8.08,43284180.00,4596,11,21
1,1,3750,5275,14.21,0.00,43284180.00,3750,10,28
2,1,3750,5275,34.60,109.43,43284180.00,3750,10,28
1,1,3306,5250,2047.03,0.00,48347220.00,3306,8,11
2,1,3306,5250,1473.40,1620.51,48347220.00,3306,8,11
1,1,4614,2540,15.42,0.00,48347220.00,4614,8,8
2,1,4614,2540,6.98,15.02,48347220.00,4614,8,8
1,1,213,3136,6633.58,0.00,48347220.00,213,7,24
2,1,213,3136,18304.88,21931.18,48347220.00,213,7,24
1,1,2351,5380,18194.31,0.00,48347220.00,2351,7,29
2,1,2351,5380,28421.90,58232.61,48347220.00,2351,7,29
1,1,4252,2703,2607.25,0.00,48347220.00,4252,11,24
2,1,4252,2703,3091.74,6964.30,48347220.00,4252,11,24
1,1,1657,2378,18.34,0.00,48347220.00,1657,3,13
2,1,1657,2378,5.57,10.01,48347220.00,1657,3,13
1,1,1733,4293,3.95,0.00,48347220.00,1733,12,31
2,1,1733,4293,4.70,7.57,48347220.00,1733,12,31
1,1,730,4174,0.98,0.00,43284180.00,730,12,9
2,1,730,4174,4.98,10.50,43284180.00,730,12,9
1,1,2263,2164,456.21,0.00,48347220.00,2263,1,21
2,1,2263,2164,65.62,192.78,48347220.00,2263,1,21
1,1,3985,5041,28465.12,0.00,48347220.00,3985,10,7
2,1,3985,5041,27366.60,23857.90,48347220.00,3985,10,7
1,1,3937,4946,15.35,0.00,43284180.00,3937,10,11
1,1,1473,3841,67.32,0.00,48347220.00,1473,6,15
1,1,4633,4294,12.84,0.00,43284180.00,4633,5,4
2,1,4633,4294,36.29,114.75,43284180.00,4633,5,4
1,1,842,3013,576.48,0.00,43284180.00,842,8,17
2,1,842,3013,236.78,377.81,43284180.00,842,8,17
1,1,2616,5199,502.32,0.00,48347220.00,2616,11,10
2,1,2616,5199,1128.88,3349.82,48347220.00,2616,11,10
1,1,615,4403,6.93,0.00,48347220.00,615,8,31
2,1,615,4403,1.69,5.35,48347220.00,615,8,31
1,1,2183,4019,59283.30,0.00,48347220.00,2183,8,30
2,1,2183,4019,97452.96,140475.28,48347220.00,2183,8,30
