type, summary_id,period_no,event_id,mean,standard_deviation,exposure_value,occ_year,occ_month,occ_day
1,1,2185,4654,18.86,0.00,48347220.00,2185,9,21
2,1,2185,4654,38.00,107.51,48347220.00,2185,9,21
1,1,4780,1795,5.04,0.00,48347220.00,4780,5,18
2,1,4780,1795,2.68,8.47,48347220.00,4780,5,18
1,1,4527,2448,1987794.12,0.00,48347220.00,4527,2,24
2,1,4527,2448,1627408.75,1439070.00,48347220.00,4527,2,24
1,1,1423,4806,2.01,0.00,48347220.00,1423,3,4
2,1,1423,4806,2.71,5.89,48347220.00,1423,3,4
1,1,4237,2642,1098647.75,0.00,48347220.00,4237,12,7
2,1,4237,2642,1352763.12,1497437.12,48347220.00,4237,12,7
1,1,2204,1878,8777.09,0.00,48347220.00,2204,12,10
2,1,2204,1878,508.42,1051.29,48347220.00,2204,12,10
1,1,3066,3860,5.08,0.00,48347220.00,3066,4,10
2,1,3066,3860,13.36,18.08,48347220.00,3066,4,10
1,1,1102,5259,7.02,0.00,48347220.00,1102,6,28
2,1,1102,5259,11.68,12.07,48347220.00,1102,6,28
1,1,1591,3899,5606.47,0.00,48347220.00,1591,1,7
2,1,1591,3899,2944.12,3338.58,48347220.00,1591,1,7
1,1,376,2454,2.97,0.00,43284180.00,376,9,13
2,1,376,2454,2.50,7.91,43284180.00,376,9,13
1,1,276,4054,2695.58,0.00,48347220.00,276,5,12
2,1,276,4054,6643.85,7183.32,48347220.00,276,5,12
1,1,2618,2704,616378.25,0.00,48347220.00,2618,6,5
2,1,2618,2704,734853.38,1037232.62,48347220.00,2618,6,5
1,1,2838,5108,514.52,0.00,48347220.00,2838,10,2
2,1,2838,5108,35.74,107.83,48347220.00,2838,10,2
1,1,2533,5210,2826.84,0.00,48347220.00,2533,2,11
2,1,2533,5210,6907.61,11251.11,48347220.00,2533,2,11
1,1,4907,3004,3801.55,0.00,48347220.00,4907,1,1
2,1,4907,3004,1201.98,1919.79,48347220.00,4907,1,1
1,1,4284,4524,1.00,0.00,12823488.00,4284,11,21
2,1,4284,4524,1.59,5.02,12823488.00,4284,11,21
1,1,3422,2398,731984.88,0.00,48347220.00,3422,4,10
2,1,3422,2398,381656.19,379919.41,48347220.00,3422,4,10
1,1,3537,2714,35.75,0.00,48347220.00,3537,12,14
2,1,3537,2714,89.31,135.61,48347220.00,3537,12,14
1,1,2212,1936,242813.88,0.00,48347220.00,2212,10,1
2,1,2212,1936,367059.22,447285.59,48347220.00,2212,10,1
1,1,1109,1944,469.04,0.00,48347220.00,1109,8,12
2,1,1109,1944,9.61,9.45,48347220.00,1109,8,12
1,1,1358,5013,2.88,0.00,48347220.00,1358,1,12
2,1,1358,5013,2.84,8.99,48347220.00,1358,1,12
1,1,3648,3617,515.09,0.00,48347220.00,3648,9,1
2,1,3648,3617,244.61,556.84,48347220.00,3648,9,1
1,1,2174,818,2.04,0.00,48347220.00,2174,10,3
2,1,2174,818,4.98,9.17,48347220.00,2174,10,3
1,1,1588,2506,583410.06,0.00,48347220.00,1588,4,17
2,1,1588,2506,527135.62,865003.25,48347220.00,1588,4,17
1,1,2045,2315,15.37,0.00,48347220.00,2045,6,6
2,1,2045,2315,6.43,11.35,48347220.00,2045,6,6
1,1,1578,4021,1.96,0.00,43284180.00,1578,8,20
2,1,1578,4021,2.71,8.58,43284180.00,1578,8,20
1,1,3083,3907,2255.64,0.00,48347220.00,3083,5,17
2,1,3083,3907,3377.22,9519.84,48347220.00,3083,5,17
1,1,4553,3909,17.32,0.00,48347220.00,4553,5,29
2,1,4553,3909,2.64,8.34,48347220.00,4553,5,29
1,1,3305,5270,13.23,0.00,43284180.00,3305,3,27
2,1,3305,5270,33.90,107.20,43284180.00,3305,3,27
1,1,2441,2399,1244068.88,0.00,48347220.00,2441,10,20
2,1,2441,2399,924797.31,891410.25,48347220.00,2441,10,20
1,1,414,5310,755.05,0.00,48347220.00,414,1,8
2,1,414,5310,748.59,1466.13,48347220.00,414,1,8
1,1,2413,1657,13168.49,0.00,48347220.00,2413,7,30
2,1,2413,1657,21217.40,42120.45,48347220.00,2413,7,30
1,1,1532,5361,377724.31,0.00,48347220.00,1532,1,3
2,1,1532,5361,349384.72,598488.69,48347220.00,1532,1,3
1,1,4367,5327,67367.84,0.00,48347220.00,4367,4,28
2,1,4367,5327,110240.77,185767.20,48347220.00,4367,4,28
1,1,1527,2727,39.72,0.00,48347220.00,1527,12,2
2,1,1527,2727,47.60,109.14,48347220.00,1527,12,2
1,1,3555,2479,893101.75,0.00,48347220.00,3555,10,11
2,1,3555,2479,1792592.25,1825735.62,48347220.00,3555,10,11
1,1,2015,4155,0.98,0.00,43284180.00,2015,6,9
1,1,1864,4862,0.97,0.00,48347220.00,1864,4,11
1,1,4140,5233,12.84,0.00,43284180.00,4140,1,23
1,1,1003,5444,1.00,0.00,48347220.00,1003,6,16
2,1,1003,5444,1.11,3.52,48347220.00,1003,6,16
1,1,1086,5055,943.26,0.00,48347220.00,1086,6,24
2,1,1086,5055,1240.64,1446.39,48347220.00,1086,6,24
1,1,705,1822,2921.96,0.00,48347220.00,705,9,8
2,1,705,1822,6318.52,9586.78,48347220.00,705,9,8
1,1,1461,3151,0.95,0.00,43284180.00,1461,12,16
1,1,4363,1789,9640623.00,0.00,48347220.00,4363,4,14
2,1,4363,1789,8518564.00,4926174.00,48347220.00,4363,4,14
1,1,1365,2739,8182.98,0.00,48347220.00,1365,5,19
2,1,1365,2739,10307.48,12775.68,48347220.00,1365,5,19
1,1,2132,5235,200.93,0.00,48347220.00,2132,10,24
2,1,2132,5235,26.27,83.06,48347220.00,2132,10,24
1,1,1004,2780,3.00,0.00,48347220.00,1004,8,1
2,1,1004,2780,5.82,13.84,48347220.00,1004,8,1
1,1,3143,559,211.85,0.00,48347220.00,3143,5,16
2,1,3143,559,8.89,19.52,48347220.00,3143,5,16
1,1,3064,2415,3.06,0.00,48347220.00,3064,2,10
2,1,3064,2415,2.50,7.92,48347220.00,3064,2,10
1,1,4875,4911,70.32,0.00,48347220.00,4875,12,7
2,1,4875,4911,193.48,568.11,48347220.00,4875,12,7
1,1,1073,2307,43739.45,0.00,48347220.00,1073,2,15
2,1,1073,2307,25959.07,35045.14,48347220.00,1073,2,15
1,1,3753,2706,16.62,0.00,48347220.00,3753,8,14
2,1,3753,2706,5.10,8.91,48347220.00,3753,8,14
1,1,1993,3821,112.23,0.00,48347220.00,1993,11,13
2,1,1993,3821,47.45,109.12,48347220.00,1993,11,13
1,1,3448,1857,13.63,0.00,43284180.00,3448,9,23
