type, summary_id,period_no,event_id,mean,standard_deviation,exposure_value,occ_year,occ_month,occ_day
2,1,2288,2400,515474.09,421751.38,14354167.00,2288,5,29
2,1,3628,2462,1564.53,4947.47,14354167.00,3628,4,8
2,1,1208,5044,5507.63,17416.66,14354167.00,1208,1,15
1,1,3542,1847,173296.05,0.00,14354167.00,3542,5,2
2,1,3542,1847,235815.84,248394.33,14354167.00,3542,5,2
1,1,2646,2648,233437.17,0.00,14354167.00,2646,5,16
2,1,2646,2648,335648.59,699078.69,14354167.00,2646,5,16
2,1,2660,2667,45246.72,93930.46,14354167.00,2660,11,20
2,1,1755,3404,5584.89,17660.98,14354167.00,1755,11,10
1,1,1455,2317,81396.06,0.00,14354167.00,1455,8,19
2,1,1455,2317,55053.95,123793.02,14354167.00,1455,8,19
2,1,1289,5034,12047.62,38097.94,14354167.00,1289,5,2
2,1,2354,1802,45126.76,62349.57,14354167.00,2354,9,1
1,1,1162,5217,74344.33,0.00,14354167.00,1162,2,9
2,1,1162,5217,167111.45,219864.25,14354167.00,1162,2,9
2,1,2830,1652,28499.10,65869.08,14354167.00,2830,1,25
2,1,1390,5026,325.11,1028.09,14354167.00,1390,6,22
1,1,154,2465,575411.00,0.00,14354167.00,154,10,22
2,1,154,2465,582976.19,627853.44,14354167.00,154,10,22
1,1,1575,2457,2166320.75,0.00,14354167.00,1575,3,28
2,1,1575,2457,2170846.00,2052103.00,14354167.00,1575,3,28
1,1,1074,2308,676426.25,0.00,14354167.00,1074,4,13
2,1,1074,2308,509094.59,834640.62,14354167.00,1074,4,13
1,1,3349,2650,884750.38,0.00,14354167.00,3349,10,11
2,1,3349,2650,828242.81,490203.47,14354167.00,3349,10,11
2,1,3237,543,99027.89,206786.12,14354167.00,3237,9,2
1,1,3940,5225,1127098.38,0.00,14354167.00,3940,7,17
2,1,3940,5225,891757.69,880638.75,14354167.00,3940,7,17
2,1,4672,2674,4067.62,12862.94,14354167.00,4672,8,12
1,1,4228,5226,1065410.25,0.00,14354167.00,4228,1,28
2,1,4228,5226,656127.00,439428.69,14354167.00,4228,1,28
2,1,3869,2437,43162.92,62613.07,14354167.00,3869,10,28
1,1,3132,2645,1001423.88,0.00,14354167.00,3132,1,23
2,1,3132,2645,812550.62,392356.41,14354167.00,3132,1,23
2,1,1180,5338,18639.73,58944.00,14354167.00,1180,6,7
1,1,1406,2458,422154.47,0.00,14354167.00,1406,10,8
2,1,1406,2458,448804.19,426029.25,14354167.00,1406,10,8
1,1,2869,2475,679821.50,0.00,14354167.00,2869,4,4
2,1,2869,2475,592532.81,656109.94,14354167.00,2869,4,4
1,1,1335,2494,240327.50,0.00,14354167.00,1335,6,8
2,1,1335,2494,90052.67,127906.21,14354167.00,1335,6,8
2,1,4551,5202,48702.58,146111.19,14354167.00,4551,1,20
2,1,2477,5356,2570.37,8128.24,14354167.00,2477,2,18
2,1,482,2495,52081.36,109868.88,14354167.00,482,8,26
2,1,4576,2486,7704.92,24365.09,14354167.00,4576,4,11
2,1,1088,4759,202.21,639.44,14354167.00,1088,1,1
2,1,2855,1940,11364.55,18910.12,14354167.00,2855,12,6
2,1,3110,5071,94610.34,115037.80,14354167.00,3110,1,25
1,1,4184,2644,1368351.50,0.00,14354167.00,4184,5,25
2,1,4184,2644,1083024.75,1059599.62,14354167.00,4184,5,25
2,1,489,1784,64393.14,142322.45,14354167.00,489,5,30
2,1,2608,3119,32087.83,91267.96,14354167.00,2608,1,13
2,1,1614,5256,5639.30,17833.02,14354167.00,1614,7,21
1,1,1779,5323,31110.85,0.00,14354167.00,1779,3,1
2,1,1779,5323,23698.06,55055.63,14354167.00,1779,3,1
1,1,31,2718,29791.59,0.00,14354167.00,31,2,22
2,1,31,2718,72869.14,230432.45,14354167.00,31,2,22
1,1,4039,1599,3912284.50,0.00,14354167.00,4039,4,2
2,1,4039,1599,2733854.75,2115777.25,14354167.00,4039,4,2
2,1,3783,2325,76348.70,159854.86,14354167.00,3783,9,15
1,1,964,1603,642401.50,0.00,14354167.00,964,1,6
2,1,964,1603,214342.33,282331.19,14354167.00,964,1,6
1,1,1753,2449,2163434.00,0.00,14354167.00,1753,4,26
2,1,1753,2449,1608886.62,1333994.25,14354167.00,1753,4,26
1,1,236,2660,334122.44,0.00,14354167.00,236,11,24
2,1,236,2660,238844.25,220048.53,14354167.00,236,11,24
1,1,1022,1598,403300.03,0.00,14354167.00,1022,9,10
2,1,1022,1598,437775.56,349702.78,14354167.00,1022,9,10
2,1,1878,1649,97685.52,179223.28,14354167.00,1878,6,29
1,1,1963,3375,172563.02,0.00,14354167.00,1963,2,9
2,1,1963,3375,205797.41,355083.16,14354167.00,1963,2,9
2,1,4651,2892,11807.87,34738.03,14354167.00,4651,11,9
2,1,2200,2480,122787.52,235764.53,14354167.00,2200,8,15
1,1,1993,2643,3102457.00,0.00,14354167.00,1993,5,20
2,1,1993,2643,2048821.25,1288873.25,14354167.00,1993,5,20
1,1,2064,2668,151140.91,0.00,14354167.00,2064,6,22
2,1,2064,2668,262138.00,366427.00,14354167.00,2064,6,22
2,1,1146,3383,8115.74,25664.22,14354167.00,1146,4,18
1,1,425,2313,415294.19,0.00,14354167.00,425,8,24
2,1,425,2313,275812.19,439413.81,14354167.00,425,8,24
2,1,889,2348,2807.01,6219.59,14354167.00,889,11,21
2,1,4095,2476,13153.02,41593.48,14354167.00,4095,9,7
1,1,458,2470,89264.70,0.00,14354167.00,458,6,13
2,1,458,2470,63682.82,126384.19,14354167.00,458,6,13
2,1,462,2705,2991.01,6884.79,14354167.00,462,3,14
1,1,1575,1827,130997.64,0.00,14354167.00,1575,4,25
2,1,1575,1827,302995.16,521360.09,14354167.00,1575,4,25
1,1,1229,2440,2361765.00,0.00,14354167.00,1229,8,13
2,1,1229,2440,1186089.25,1079077.12,14354167.00,1229,8,13
2,1,3149,1631,6038.47,13915.60,14354167.00,3149,11,5
1,1,2395,2446,1101103.00,0.00,14354167.00,2395,9,19
2,1,2395,2446,1003929.19,855347.75,14354167.00,2395,9,19
2,1,1964,5042,9289.14,29374.83,14354167.00,1964,10,16
1,1,2996,4014,10823.31,0.00,14354167.00,2996,10,10
2,1,2996,4014,71428.33,114459.81,14354167.00,2996,10,10
2,1,3851,1821,1103.01,3488.02,14354167.00,3851,10,14
1,1,3604,1820,919270.25,0.00,14354167.00,3604,1,6
2,1,3604,1820,757907.75,887154.94,14354167.00,3604,1,6
2,1,2478,3378,32846.68,69264.38,14354167.00,2478,8,9
2,1,2271,5037,1266.61,4005.38,14354167.00,2271,9,4
1,1,3329,2662,624885.44,0.00,14354167.00,3329,5,17
2,1,3329,2662,664690.62,703900.44,14354167.00,3329,5,17
2,1,958,5072,101459.65,162064.91,14354167.00,958,12,10
1,1,2201,2405,894411.12,0.00,14354167.00,2201,3,14
2,1,2201,2405,731862.44,697292.94,14354167.00,2201,3,14
2,1,2290,3619,2333.52,7379.25,14354167.00,2290,9,26
2,1,4334,5347,36816.59,116424.28,14354167.00,4334,9,7
2,1,3003,2304,66740.95,108215.98,14354167.00,3003,4,2
2,1,3870,2675,3454.14,7998.95,14354167.00,3870,1,20
2,1,4312,5067,69682.73,128814.35,14354167.00,4312,1,21
1,1,1492,2677,2733317.00,0.00,14354167.00,1492,7,27
2,1,1492,2677,1182315.00,1565452.00,14354167.00,1492,7,27
2,1,1730,3618,57262.24,109872.11,14354167.00,1730,6,6
2,1,1994,3126,16.47,52.08,14354167.00,1994,2,2
1,1,3178,3811,184862.27,0.00,14354167.00,3178,11,24
2,1,3178,3811,137235.08,105651.60,14354167.00,3178,11,24
2,1,3411,1791,5722.35,18095.67,14354167.00,3411,11,20
1,1,2220,2664,403878.22,0.00,14354167.00,2220,3,25
2,1,2220,2664,480342.69,765645.88,14354167.00,2220,3,25
2,1,3277,5316,135730.50,225058.25,14354167.00,3277,12,15
1,1,3985,2301,1784675.88,0.00,14354167.00,3985,8,14
2,1,3985,2301,1456922.25,1088457.25,14354167.00,3985,8,14
1,1,4277,1600,1375900.62,0.00,14354167.00,4277,2,16
2,1,4277,1600,1063882.25,1034760.19,14354167.00,4277,2,16
1,1,3613,2318,6042994.00,0.00,14354167.00,3613,3,27
2,1,3613,2318,3793364.75,2698807.75,14354167.00,3613,3,27
1,1,1954,2314,422771.22,0.00,14354167.00,1954,10,17
2,1,1954,2314,561972.25,717507.31,14354167.00,1954,10,17
1,1,212,2434,385451.41,0.00,14354167.00,212,6,28
2,1,212,2434,281324.25,282938.81,14354167.00,212,6,28
2,1,2645,5073,1122.70,3550.29,14354167.00,2645,11,10
2,1,1431,2671,32575.69,71200.31,14354167.00,1431,2,24
2,1,3167,1653,9971.92,24545.58,14354167.00,3167,8,29
2,1,1730,1849,532.05,1682.49,14354167.00,1730,7,18
1,1,1033,2466,2039323.62,0.00,14354167.00,1033,7,29
2,1,1033,2466,1681911.38,801436.44,14354167.00,1033,7,29
2,1,2688,3902,385.22,1218.16,14354167.00,2688,2,11
1,1,293,3360,230257.16,0.00,14354167.00,293,3,18
2,1,293,3360,329933.41,355453.34,14354167.00,293,3,18
1,1,4924,2701,107782.87,0.00,14354167.00,4924,11,26
2,1,4924,2701,329613.91,680216.12,14354167.00,4924,11,26
1,1,3095,2306,1025647.06,0.00,14354167.00,3095,2,20
2,1,3095,2306,1199139.00,1223295.62,14354167.00,3095,2,20
2,1,2178,4938,15009.91,24360.89,14354167.00,2178,9,24
2,1,2001,1819,67847.23,149659.75,14354167.00,2001,10,30
2,1,4718,3825,11936.99,37748.07,14354167.00,4718,11,12
1,1,2936,2406,11164942.00,0.00,14354167.00,2936,5,18
2,1,2936,2406,7890133.50,1998055.12,14354167.00,2936,5,18
1,1,4823,2300,268731.84,0.00,14354167.00,4823,5,24
2,1,4823,2300,284059.22,329776.72,14354167.00,4823,5,24
2,1,1236,5358,29991.93,48843.98,14354167.00,1236,8,21
1,1,3465,2409,10820869.00,0.00,14354167.00,3465,11,15
2,1,3465,2409,7164643.00,2092107.62,14354167.00,3465,11,15
2,1,3467,5272,6272.09,17453.48,14354167.00,3467,5,6
1,1,1618,2456,1579591.12,0.00,14354167.00,1618,9,22
2,1,1618,2456,1477829.62,1565751.50,14354167.00,1618,9,22
2,1,1381,2678,24841.43,50648.68,14354167.00,1381,8,4
1,1,2953,3105,604591.00,0.00,14354167.00,2953,9,27
2,1,2953,3105,934716.38,1297483.00,14354167.00,2953,9,27
1,1,4553,5238,65097.76,0.00,14354167.00,4553,5,13
2,1,4553,5238,313207.50,648098.62,14354167.00,4553,5,13
1,1,64,2687,34961.09,0.00,14354167.00,64,6,9
2,1,64,2687,17220.64,34982.86,14354167.00,64,6,9
1,1,4211,2439,589535.25,0.00,14354167.00,4211,1,17
2,1,4211,2439,593604.88,418999.62,14354167.00,4211,1,17
2,1,331,2665,7838.37,24787.10,14354167.00,331,2,12
1,1,4717,5222,473258.97,0.00,14354167.00,4717,6,28
2,1,4717,5222,475241.59,421777.69,14354167.00,4717,6,28
2,1,4390,5300,29154.68,87027.52,14354167.00,4390,3,3
1,1,4351,2401,8748397.00,0.00,14354167.00,4351,10,11
2,1,4351,2401,4617494.00,1926480.50,14354167.00,4351,10,11
2,1,4755,5140,1216.87,3848.08,14354167.00,4755,5,10
2,1,3940,1785,2631.36,8321.08,14354167.00,3940,2,12
1,1,4876,2656,643025.38,0.00,14354167.00,4876,11,18
2,1,4876,2656,753942.19,511532.56,14354167.00,4876,11,18
2,1,1704,2349,9213.03,27360.03,14354167.00,1704,8,19
2,1,2554,5043,11204.36,35431.29,14354167.00,2554,9,20
2,1,4417,5035,47477.00,94150.68,14354167.00,4417,8,27
1,1,4623,2483,39795.57,0.00,14354167.00,4623,2,13
2,1,4623,2483,150040.70,245626.73,14354167.00,4623,2,13
1,1,4032,2501,43956.57,0.00,14354167.00,4032,1,29
2,1,4032,2501,72225.12,118536.84,14354167.00,4032,1,29
2,1,4991,5352,65708.20,179476.03,14354167.00,4991,9,3
2,1,4375,1638,3230.36,10215.29,14354167.00,4375,7,9
2,1,1133,2024,7659.15,24220.36,14354167.00,1133,8,16
2,1,3631,2504,6096.93,19280.18,14354167.00,3631,5,1
2,1,592,4018,52275.92,112731.88,14354167.00,592,9,23
2,1,13,4017,4127.23,13051.45,14354167.00,13,12,22
1,1,2647,5391,28760.42,0.00,14354167.00,2647,2,5
2,1,2647,5391,358227.94,734975.62,14354167.00,2647,2,5
1,1,3540,5224,210877.00,0.00,14354167.00,3540,6,24
2,1,3540,5224,244922.88,418905.84,14354167.00,3540,6,24
2,1,4803,2324,46502.66,98044.09,14354167.00,4803,12,23
2,1,4328,5208,16248.44,51382.08,14354167.00,4328,4,10
1,1,2784,1788,68678.21,0.00,14354167.00,2784,3,7
2,1,2784,1788,118118.31,150826.34,14354167.00,2784,3,7
1,1,4325,3122,666751.12,0.00,14354167.00,4325,2,6
2,1,4325,3122,212075.67,206976.39,14354167.00,4325,2,6
1,1,2130,1813,16365.69,0.00,14354167.00,2130,4,2
2,1,2130,1813,92291.70,174585.38,14354167.00,2130,4,2
2,1,3354,1634,37377.69,118198.63,14354167.00,3354,10,28
