summary_id,type,event_id,mean,standard_deviation,exposure_value
1,1,1675,0.000000,0,14354167.000000
1,2,1675,0.000000,0.000000,14354167.000000
1,1,5179,0.000000,0,14354167.000000
1,2,5179,0.000000,0.000000,14354167.000000
1,1,4970,0.000000,0,14354167.000000
1,2,4970,0.000000,0.000000,14354167.000000
1,1,3120,0.000000,0,14354167.000000
1,2,3120,14836.635742,46917.558594,14354167.000000
1,1,3551,0.000000,0,12835254.000000
1,2,3551,0.000000,0.000000,12835254.000000
1,1,4730,0.000000,0,12835254.000000
1,2,4730,0.000000,0.000000,12835254.000000
1,1,1783,0.000000,0,14354167.000000
1,2,1783,18697.253906,59125.910156,14354167.000000
1,1,3191,0.000000,0,3697046.750000
1,2,3191,0.000000,0.000000,3697046.750000
1,1,2745,0.000000,0,14354167.000000
1,2,2745,0.000000,0.000000,14354167.000000
1,1,1666,0.000000,0,14354167.000000
1,2,1666,0.000000,0.000000,14354167.000000
1,1,2815,0.000000,0,12835254.000000
1,2,2815,0.000000,0.000000,12835254.000000
1,1,4034,0.000000,0,14354167.000000
1,2,4034,0.000000,0.000000,14354167.000000
1,1,4918,0.000000,0,14354167.000000
1,2,4918,0.000000,0.000000,14354167.000000
1,1,1833,0.000000,0,14354167.000000
1,2,1833,0.000000,0.000000,14354167.000000
1,1,3007,0.000000,0,14354167.000000
1,2,3007,0.000000,0.000000,14354167.000000
1,1,4038,0.000000,0,12835254.000000
1,2,4038,0.000000,0.000000,12835254.000000
1,1,4978,0.000000,0,14354167.000000
1,2,4978,0.000000,0.000000,14354167.000000
1,1,4835,0.000000,0,12835254.000000
1,2,4835,0.000000,0.000000,12835254.000000
1,1,4066,0.000000,0,14354167.000000
1,2,4066,0.000000,0.000000,14354167.000000
1,1,1464,0.000000,0,12835254.000000
1,2,1464,0.000000,0.000000,12835254.000000
1,1,2957,0.000000,0,12835254.000000
1,2,2957,0.000000,0.000000,12835254.000000
1,1,3684,0.000000,0,12835254.000000
1,2,3684,0.000000,0.000000,12835254.000000
1,1,4859,0.000000,0,12835254.000000
1,2,4859,0.000000,0.000000,12835254.000000
1,1,4401,0.000000,0,14354167.000000
1,2,4401,0.000000,0.000000,14354167.000000
1,1,4348,0.000000,0,12835254.000000
1,2,4348,0.000000,0.000000,12835254.000000
1,1,5017,0.000000,0,14354167.000000
1,2,5017,0.000000,0.000000,14354167.000000
1,1,4146,0.000000,0,14354167.000000
1,2,4146,0.000000,0.000000,14354167.000000
1,1,5101,0.000000,0,14354167.000000
1,2,5101,0.000000,0.000000,14354167.000000
1,1,4295,0.000000,0,14354167.000000
1,2,4295,0.000000,0.000000,14354167.000000
1,1,662,0.000000,0,12835254.000000
1,2,662,0.000000,0.000000,12835254.000000
1,1,1848,0.000000,0,12835254.000000
1,2,1848,0.000000,0.000000,12835254.000000
1,1,1375,0.000000,0,12835254.000000
1,2,1375,0.000000,0.000000,12835254.000000
1,1,3820,0.000000,0,12835254.000000
1,2,3820,0.000000,0.000000,12835254.000000
1,1,3282,0.000000,0,14354167.000000
1,2,3282,0.000000,0.000000,14354167.000000
1,1,4554,0.000000,0,12835254.000000
1,2,4554,0.000000,0.000000,12835254.000000
1,1,5371,0.000000,0,14354167.000000
1,2,5371,0.000000,0.000000,14354167.000000
1,1,3017,0.000000,0,14354167.000000
1,2,3017,0.000000,0.000000,14354167.000000
1,1,4929,0.000000,0,14354167.000000
1,2,4929,0.000000,0.000000,14354167.000000
1,1,4869,0.000000,0,12835254.000000
1,2,4869,0.000000,0.000000,12835254.000000
1,1,2732,0.000000,0,14354167.000000
1,2,2732,0.000000,0.000000,14354167.000000
1,1,1864,0.000000,0,14354167.000000
1,2,1864,0.000000,0.000000,14354167.000000
1,1,5461,0.000000,0,12835254.000000
1,2,5461,0.000000,0.000000,12835254.000000
1,1,4409,0.000000,0,12835254.000000
1,2,4409,0.000000,0.000000,12835254.000000
1,1,3010,0.000000,0,12835254.000000
1,2,3010,0.000000,0.000000,12835254.000000
1,1,4719,0.000000,0,14354167.000000
1,2,4719,0.000000,0.000000,14354167.000000
1,1,2752,0.000000,0,14354167.000000
1,2,2752,0.000000,0.000000,14354167.000000
1,1,3138,0.000000,0,14354167.000000
1,2,3138,0.000000,0.000000,14354167.000000
1,1,2403,663649.187500,0,14354167.000000
1,2,2403,599384.125000,557002.000000,14354167.000000
1,1,1815,0.000000,0,14354167.000000
1,2,1815,0.000000,0.000000,14354167.000000
1,1,5437,0.000000,0,14354167.000000
1,2,5437,0.000000,0.000000,14354167.000000
1,1,3878,0.000000,0,12835254.000000
1,2,3878,0.000000,0.000000,12835254.000000
1,1,5156,0.000000,0,14354167.000000
1,2,5156,0.000000,0.000000,14354167.000000
1,1,5137,0.000000,0,14354167.000000
1,2,5137,0.000000,0.000000,14354167.000000
1,1,3121,0.000000,0,14354167.000000
1,2,3121,0.000000,0.000000,14354167.000000
1,1,1710,0.000000,0,12835254.000000
1,2,1710,0.000000,0.000000,12835254.000000
1,1,4960,0.000000,0,14354167.000000
1,2,4960,0.000000,0.000000,14354167.000000
1,1,3813,0.000000,0,12835254.000000
1,2,3813,0.000000,0.000000,12835254.000000
1,1,4440,0.000000,0,12835254.000000
1,2,4440,0.000000,0.000000,12835254.000000
1,1,3132,0.000000,0,14354167.000000
1,2,3132,0.000000,0.000000,14354167.000000
1,1,2792,0.000000,0,12835254.000000
1,2,2792,0.000000,0.000000,12835254.000000
1,1,5403,0.000000,0,14354167.000000
1,2,5403,0.000000,0.000000,14354167.000000
1,1,2484,0.000000,0,14354167.000000
1,2,2484,0.000000,0.000000,14354167.000000
1,1,2657,0.000000,0,12835254.000000
1,2,2657,0.000000,0.000000,12835254.000000
1,1,4689,0.000000,0,14354167.000000
1,2,4689,0.000000,0.000000,14354167.000000
1,1,4748,0.000000,0,12835254.000000
1,2,4748,0.000000,0.000000,12835254.000000
1,1,3651,0.000000,0,14354167.000000
1,2,3651,0.000000,0.000000,14354167.000000
1,1,3376,0.000000,0,14354167.000000
1,2,3376,0.000000,0.000000,14354167.000000
1,1,3141,0.000000,0,14354167.000000
1,2,3141,0.000000,0.000000,14354167.000000
1,1,3839,0.000000,0,14354167.000000
1,2,3839,0.000000,0.000000,14354167.000000
1,1,4890,0.000000,0,12835254.000000
1,2,4890,0.000000,0.000000,12835254.000000
1,1,1668,0.000000,0,14354167.000000
1,2,1668,0.000000,0.000000,14354167.000000
1,1,3433,0.000000,0,14354167.000000
1,2,3433,0.000000,0.000000,14354167.000000
1,1,4051,0.000000,0,12835254.000000
1,2,4051,0.000000,0.000000,12835254.000000
1,1,3362,0.000000,0,14354167.000000
1,2,3362,0.000000,0.000000,14354167.000000
1,1,4900,0.000000,0,14354167.000000
1,2,4900,0.000000,0.000000,14354167.000000
1,1,4715,0.000000,0,12835254.000000
1,2,4715,0.000000,0.000000,12835254.000000
1,1,4838,0.000000,0,12835254.000000
1,2,4838,0.000000,0.000000,12835254.000000
1,1,3897,0.000000,0,14354167.000000
1,2,3897,0.000000,0.000000,14354167.000000
1,1,5150,0.000000,0,14354167.000000
1,2,5150,0.000000,0.000000,14354167.000000
1,1,4981,0.000000,0,14354167.000000
1,2,4981,0.000000,0.000000,14354167.000000
1,1,1466,0.000000,0,3697046.750000
1,2,1466,0.000000,0.000000,3697046.750000
1,1,4239,0.000000,0,12835254.000000
1,2,4239,0.000000,0.000000,12835254.000000
1,1,4638,0.000000,0,14354167.000000
1,2,4638,0.000000,0.000000,14354167.000000
1,1,2685,334556.375000,0,14354167.000000
1,2,2685,845841.500000,956503.187500,14354167.000000
1,1,4633,0.000000,0,12835254.000000
1,2,4633,0.000000,0.000000,12835254.000000
1,1,4243,0.000000,0,14354167.000000
1,2,4243,0.000000,0.000000,14354167.000000
1,1,4259,0.000000,0,14354167.000000
1,2,4259,0.000000,0.000000,14354167.000000
1,1,5155,0.000000,0,14354167.000000
1,2,5155,49906.250000,88314.101562,14354167.000000
1,1,1877,0.000000,0,14354167.000000
1,2,1877,0.000000,0.000000,14354167.000000
1,1,4267,0.000000,0,14354167.000000
1,2,4267,0.000000,0.000000,14354167.000000
1,1,2319,0.000000,0,12835254.000000
1,2,2319,0.000000,0.000000,12835254.000000
1,1,3134,0.000000,0,14354167.000000
1,2,3134,0.000000,0.000000,14354167.000000
1,1,2163,0.000000,0,14354167.000000
1,2,2163,0.000000,0.000000,14354167.000000
1,1,4655,0.000000,0,14354167.000000
1,2,4655,0.000000,0.000000,14354167.000000
1,1,5251,0.000000,0,3697046.750000
1,2,5251,0.000000,0.000000,3697046.750000
1,1,894,0.000000,0,12835254.000000
1,2,894,0.000000,0.000000,12835254.000000
1,1,4986,0.000000,0,14354167.000000
1,2,4986,0.000000,0.000000,14354167.000000
1,1,4139,0.000000,0,12835254.000000
1,2,4139,0.000000,0.000000,12835254.000000
1,1,4313,0.000000,0,14354167.000000
1,2,4313,0.000000,0.000000,14354167.000000
1,1,4850,0.000000,0,12835254.000000
1,2,4850,0.000000,0.000000,12835254.000000
1,1,1875,0.000000,0,14354167.000000
1,2,1875,0.000000,0.000000,14354167.000000
1,1,5240,351757.093750,0,14354167.000000
1,2,5240,144804.593750,338950.031250,14354167.000000
1,1,4904,0.000000,0,12835254.000000
1,2,4904,0.000000,0.000000,12835254.000000
1,1,4736,0.000000,0,12835254.000000
1,2,4736,0.000000,0.000000,12835254.000000
1,1,4936,0.000000,0,14354167.000000
1,2,4936,0.000000,0.000000,14354167.000000
1,1,534,0.000000,0,12835254.000000
1,2,534,0.000000,0.000000,12835254.000000
1,1,947,0.000000,0,12835254.000000
1,2,947,0.000000,0.000000,12835254.000000
1,1,4917,0.000000,0,14354167.000000
1,2,4917,0.000000,0.000000,14354167.000000
1,1,4969,0.000000,0,14354167.000000
1,2,4969,0.000000,0.000000,14354167.000000
1,1,3412,0.000000,0,12835254.000000
1,2,3412,0.000000,0.000000,12835254.000000
1,1,2299,0.000000,0,14354167.000000
1,2,2299,0.000000,0.000000,14354167.000000
1,1,2339,0.000000,0,14354167.000000
1,2,2339,0.000000,0.000000,14354167.000000
1,1,2404,732543.562500,0,14354167.000000
1,2,2404,874326.500000,1151013.625000,14354167.000000
1,1,5171,0.000000,0,14354167.000000
1,2,5171,0.000000,0.000000,14354167.000000
1,1,3904,0.000000,0,14354167.000000
1,2,3904,0.000000,0.000000,14354167.000000
1,1,5243,0.000000,0,12835254.000000
1,2,5243,0.000000,0.000000,12835254.000000
1,1,4001,0.000000,0,14354167.000000
1,2,4001,0.000000,0.000000,14354167.000000
1,1,2407,1458633.125000,0,14354167.000000
1,2,2407,1119874.500000,1447521.000000,14354167.000000
1,1,4391,0.000000,0,14354167.000000
